Dekalog (1988),Krzysztof Kieslowski,"Artur Barcis, Olgierd Lukaszewicz, Olaf Lubaszenko, Aleksander Bardini, Krystyna Janda, Piotr Machalica, Jan Tesarz, Stanislaw Gawlik, Krzysztof Kumor, Katarzyna Piwowarczyk, Maciej Szary, Henryk Baranowski, Daniel Olbrychski, Grazyna Szapolowska, Ewa Blaszczyk, Jerzy Stuhr, Miroslaw Baka, Adrianna Biedrzynska, Anna Polony, Maria Koscialkowska, Zbigniew Zamachowski, Maria Pakulnis, Janusz Gajos, Wojciech Klata, Krzysztof Globisz, Maja Barelkowska, Teresa Marczewska, Wladyslaw Kowalski, Maja Komorowska, Henryk Bista, Stefania Iwinska, Joanna Szczepkowska, Boguslaw Linda, Tadeusz Lomnicki, Jan Jankowski, Maciej Stuhr, Marian Opania, Jolanta Pietek-Górecka, Adam Hanuszkiewicz, Krystyna Drochocka, Agnieszka Brustman, Bozena Dykiel, Bronislaw Pawlik, Jerzy Turek, Maciej Borninski, Jerzy Trela, Dorota Stalinska, Anna Gornostaj, Igor Smialowski, Wojciech Asinski, Magdalena Mikolajczak, Rafal Imbro, Andrzej Blumenfeld, Maria Gladkowska, Jan Piechocinski, Marek Kepinski, Zygmunt Fok, Daniel Kozakiewicz, Krystyna Bigelmajer, Stefania Blonska, Malgorzata Boratynska, Zbigniew Zapasiewicz, Renata Berger, Malgorzata Rozniatowska, Janusz Mond, Henryk Majcherek, Elzbieta Kilarska, Jerzy Zygmunt Nowak, Jerzy Fedorowicz, Janusz Cywinski, Miroslawa Maludzinska, Anna Smal-Romanska, Dariusz Jablonski, Krzysztof Rojek, Grzegorz Warchol, Tomasz Kozlowicz, Ewa Kania, Zbigniew Borek, Jolanta Cichon, Jacek Kalucki, Karol Dillenius, Wojciech Sanejko, Piotr Siejka, Ewa Radzikowska, Helena Norowicz, Elzbieta Panas, Maciej Slawinski, Wladyslaw Byrdy, Slawomir Kwiatkowski, Piotr Rzymyszkiewicz, Ewa Skibinska, Cezary Harasimowicz, Jan Mayzel, Aleksander Bednarz, Barbara Kolodziejska, Aleksandra Kisielewska, Dariusz Przychoda, Ewa Ekwinska, Wojciech Starostecki, Piotr Wyrzykowski"
Lawrence of Arabia (re-release),David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins, Omar Sharif, José Ferrer, Anthony Quayle, Claude Rains, Arthur Kennedy, Donald Wolfit, I.S. Johar, Gamil Ratib, Michel Ray, John Dimech, Zia Mohyeddin, Howard Marion-Crawford, Jack Gwillim, Hugh Miller, John Barry, Bruce Beeby, Fred Bennett, John Bennett, Steve Birtles, Robert Bolt, Peter Burton, J.R.M. Chapman, Tim Clutterbuck, Barbara Cole, John Crewdson, Victor Croxford, Basil Dignam, Peter Dukelow, Mohamed El Habachi, Norman Fisher, Kenneth Fortescue, Harry Fowler, Charles Gray, James Hayter, Jack Hedley, Rafael Hernández, Bert Holliday, Noel Howlett, Cher Kaoiu, Patrick Kavanagh, David Lean, Ned Lynch, Ian MacNaughton, Clive Morton, Daniel Moynihan, Henry Oscar, Harry Phipps, George Plimpton, Bryan Pringle, Kamal Rashid, Ernie Rice, Robert Rietty, John Robinson, Norman Rossington, John Ruddock, Fernando Sancho, Stuart Saunders, Cyril Shaps, Jack Sharp, George Spence, Roy Stevens, Graham Tonbridge, Barry Warren"
Citizen Kane,Orson Welles,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick, Ray Collins, Erskine Sanford, Everett Sloane, William Alland, Paul Stewart, George Coulouris, Fortunio Bonanova, Gus Schilling, Philip Van Zandt, Georgia Backus, Harry Shannon, Sonny Bupp, Buddy Swan, Orson Welles, Don Ackerman, Loretta Agar, John Alban, Demetrius Alexis, Peter Allen, William Alston, Baudelio Alva, T. Lockwood Arbright, Sam Ash, Michael Audley, Walter Bacon, Harry A. Bailey, Richard Barr, Alva Baudena, Brandon Beach, Charles Bennett, Joan Blair, William A. Boardway, Danny Borzage, Robert Brent, James Brought, Morgan Brown, Harry Burkhardt, William Calkins, Porter Chase, Gene Chervow, J.J. Clark, Dorothy Cleveland, Edmund Cobb, Eddie Coke, Nat 'King' Cole, Tom Coleman, Gene Coogan, Sally Corner, Gino Corrado, Herbert Corthell, Maurice Costello, Irene Crosby, Charles Cross, Thomas A. Curran, Louise Currie, Jack Curtis, Ed Dahlen, Ernie Daniels, Coy Danz, Margaret Davis, Tim Davis, Dona Dax, Marie Day, Petra R. de Silva, Gayle DeCamp, Frances Deets, Carl Deloro, George DeNormand, Eddie Dew, John Dilson, Robert Dudley, Lou Duello, Suzanne Dulier, Art Dupuis, Pauline Easterday, Al Eben, Johnny Eckert, Jack Egan, Carl Ekberg, Richard Elmore, Edith Evanson, Carl Faulkner, Juanita Fields, Bess Flowers, Jack Floyd, Ray Flynn, Monty Ford, Jean Forward, Olin Francis, Louise Franklin, Al Frazier, Guy Gada, Gloria Gale, Captain Garcia, Jack Gargan, Bud Geary"
The Conformist,Bernardo Bertolucci,"Jean-Louis Trintignant, Stefania Sandrelli, Gastone Moschin, Enzo Tarascio, Fosco Giachetti, José Quaglio, Yvonne Sanson, Milly, Antonio Maestri, Alessandro Haber, Luciano Rossi, Massimo Sarchielli, Pierangelo Civera, Giuseppe Addobbati, Christian Aligny, Carlo Gaddi, Umberto Silvestri, Furio Pellerani, Luigi Antonio Guerra, Orso Maria Guerrini, Pasquale Fortunato, Pierre Clémenti, Dominique Sanda, Gianni Amico, Joel Barcellos, Christian Belaygue, Benedetto Benedetti, Claudio Cappeli, Romano Costa, Marilyn Goldin, Marta Lado, Giorgio Pelloni, Filippo Perego, Gino Vagniluca"
Three Colors: Red,Krzysztof Kieslowski,"Irène Jacob, Jean-Louis Trintignant, Frédérique Feder, Jean-Pierre Lorit, Samuel Le Bihan, Marion Stalens, Teco Celio, Bernard Escalon, Jean Schlegel, Elzbieta Jasinska, Paul Vermeulen, Jean-Marie Daunas, Roland Carey, Brigitte Raul, Leo Ramseyer, Nader Farman, Cécile Tanner, Anne Theurillat, Neige Dolsky, Jessica Korinek, Marc Autheman, Juliette Binoche, Julie Delpy, Benoît Régent, Zbigniew Zamachowski"
Notorious,Alfred Hitchcock,"Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern, Leopoldine Konstantin, Reinhold Schünzel, Moroni Olsen, Ivan Triesault, Alexis Minotis, Wally Brown, Charles Mendl, Ricardo Costa, E.A. Krumschmidt, Fay Baker, Bernice Barrett, Bea Benaderet, Candido Bonsato, Charles D. Brown, Eddie Bruce, Paul Bryar, Aileen Carlyle, Beulah Christian, Richard Clarke, Tom Coleman, Alfredo DeSa, Ben Erway, Bess Flowers, Almeda Fowler, Gavin Gordon, William Gordon, Virginia Gregg, Harry Hayden, Alfred Hitchcock, Art Howard, Warren Jackson, Ted Kelly, Donald Kerr, James Logan, Leota Lorraine, George Lynn, Frank Marlowe, Thomas Martin, Francis McDonald, Frank McLure, Tina Menard, Howard M. Mitchell, Bert Moorhouse, Antonio Moreno, Sandra Morgan, Howard Negley, Ramon Nomar, Fred Nurney, Garry Owen, Jeffrey Sayre, Louis Serrano, Patricia Smart, Dink Trout, Lenore Ulric, Emmett Vogan, Friedrich von Ledebur, Peter von Zerneck, John Vosper, Alan Ward, Lillian West, Frank Wilcox, Elizabeth Wilson, Herbert Wyndham"
The Leopard (re-release),Luchino Visconti,"Burt Lancaster, Claudia Cardinale, Alain Delon, Paolo Stoppa, Rina Morelli, Romolo Valli, Terence Hill, Pierre Clémenti, Lucilla Morlacchi, Giuliano Gemma, Ida Galli, Ottavia Piccolo, Carlo Valenzano, Brook Fuller, Anna Maria Bottini, Lola Braccini, Marino Masé, Howard Nelson Rubien, Tina Lattanzi, Marcella Rovena, Rina De Liguoro, Valerio Ruggeri, Giovanni Melisenda, Giancarlo Lolli, Franco Gulà, Vittorio Duse, Vanni Materassi, Giuseppe Stagnitti, Carmelo Artale, Olimpia Cavalli, Anna Maria Surdo, Halina Zalewska, Winni Riva, Stelvio Rosi, Carlo Palmucci, Dante Posani, Rosolino Bua, Ivo Garrani, Leslie French, Serge Reggiani, Pippo Agusta, Inna Alexeievna, Marie Bell, Omero Capanna, Lou Castel, Sandra Christolini, Maurizio Merli, Augusto Pescarini, Paola Piscini, Amalia Troiani"
Fanny and Alexander (re-release),Ingmar Bergman,"Kristina Adolphson, Börje Ahlstedt, Pernilla Allwin, Kristian Almgren, Carl Billquist, Axel Düberg, Allan Edwall, Siv Ericks, Ewa Fröling, Patricia Gélin, Majlis Granlund, Maria Granlund, Bertil Guve, Eva von Hanno, Sonya Hedenbratt, Olle Hilding, Svea Holst, Jarl Kulle, Käbi Laretei, Mona Malm, Lena Olin, Gösta Prüzelius, Christina Schollin, Hans Strååt, Pernilla August, Emelie Werkö, Gunn Wållgren, Inga Ålenius, Marianne Aminoff, Harriet Andersson, Mona Andersson, Hans Henrik Lerfeldt, Jan Malmsjö, Marianne Nielsen, Marrit Ohlsson, Kerstin Tidelius, Anna Bergman, Gunnar Björnstrand, Nils Brandt, Lars-Owe Carlberg, Gus Dahlström, Ernst Günther, Hugo Hasslo, Heinz Hopf, Maud Hyttenberg, Sven-Erik Jacobsson, Marianne Karlbeck, Kerstin Karte, Tore Karte, Åke Lagergren, Sune Mangs, Per Mattsson, Lickå Sjöman, Ryno Wallin, Georg Årlin, Daniel Bell, Gunnar Djerf, Folke Eng, Ebbe Eng, Evert Hallmarken, Nils Kyndel, Ulf Lagerwall, Börje Mårelius, Karl Nilheim, Erland Josephson, Stina Ekblad, Mats Bergman, Viola Aberlé, Gerd Andersson, Ann-Louise Bergström, Matthias Bolliger, Marie-Hélène Breillat, Krister Hell, Linda Krüger, Mats Lindblom, Magnus Nordstrand, Margareta Pettersson, Michael Santiago, Marie-Louise Sid, Peter Stormare, Pernilla Wahlgren"
Casablanca,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, S.Z. Sakall, Madeleine Lebeau, Dooley Wilson, Joy Page, John Qualen, Leonid Kinskey, Curt Bois, Abdullah Abbas, Enrique Acosta, Ed Agresti, Arnet Amos, Louis V. Arco, Frank Arnold, Brandon Beach, Leon Belasco, Nino Bellini, Trude Berliner, Oliver Blake, Monte Blue, Eugene Borden, Dick Botiller, Maurice Brierre, Anita Camargo, George M. Carleton, Spencer Chan, Melie Chang, Tex Cooper, Gino Corrado, Franco Corsaro, Adrienne D'Ambricourt, Marcel Dalio, Helmut Dantine, Jean De Briac, George Dee, Jean Del Val, Carl Deloro, Joseph DeVillard, Arthur Dulac, William Edmunds, Herbert Evans, Fred Farrell, O.K. Ford, Martin Garralaga, Gregory Gaye, Gregory Golubeff, Ilka Grüning, Creighton Hale, Winifred Harris, Jamiel Hasson, Arthur Stuart Hull, Olaf Hytten, Paul Irving, Kay Koury, Charles La Torre, Louise Laureau, George J. Lewis, Max Linder, Manuel Lopez, Jacques Lory, Lou Marcelle, Michael Mark, Tony Martelli, Frank Mazzola, George Meeker, Lal Chand Mehra, Hercules Mendez, Louis Mercier, Torben Meyer, Mike Morelli, Alberto Morin, Leo Mostovoy, Corinna Mura, Sol Murgi, Barry Norton, Monty O'Grady, Lotte Palfi Andor, Paul Panzer, Manuel París, Rene Pedrini, Alexander Pollard, Paul Porcasi, Frank Puglia, Georges Renavent, Dewey Robinson, Victor Romito, Henry Rowland, Richard Ryen, Dan Seymour, Nick Shaid, Lester Sharpe, Bhogwan Singh, Dina Smirnova, Gerald Oliver Smith"
Rear Window,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr, Judith Evelyn, Ross Bagdasarian, Georgine Darcy, Sara Berner, Frank Cady, Jesslyn Fax, Rand Harper, Irene Winston, Havis Davenport, Jerry Antes, Barbara Bailey, Benny Bartlett, Nick Borgani, Sue Casey, Iphigenie Castiglioni, James Cornell, Don Dunning, Marla English, Bess Flowers, Art Gilmore, Fred Graham, Kathryn Grant, Stephanie Griffin, Charles Harvey, Len Hendry, Alfred Hitchcock, Harry Landers, Alan Lee, Mike Mahoney, Jonni Paris, Eddie Parker, Robert Sherman, Dick Simmons, Ralph Smiley, Jack Stoney, Anthony Warde, Gig Young"
